,date,open,close,high,low,volume,amount,amplitude,pct_chg,change,turnover_rate,symbol
0,1996-12-10,16.0,22.98,25.98,16.0,67628,145479440.0,998.0,2198.0,21.98,49.23,SZ000665
1,1996-12-11,22.48,23.55,24.58,22.0,31991,75339056.0,11.23,2.48,0.57,23.29,SZ000665
2,1996-12-12,23.56,22.3,24.0,22.3,16439,37634116.0,7.22,-5.31,-1.25,11.97,SZ000665
3,1996-12-13,22.02,20.9,22.26,20.6,13464,28795020.0,7.44,-6.28,-1.4,9.8,SZ000665
4,1996-12-16,18.81,18.81,18.81,18.81,255,479655.0,0.0,-10.0,-2.09,0.19,SZ000665
5,1996-12-17,16.93,16.93,16.93,16.93,150,253950.0,0.0,-9.99,-1.88,0.11,SZ000665
6,1996-12-18,15.24,17.02,17.05,15.24,13439,21174582.0,10.69,0.53,0.09,9.78,SZ000665
7,1996-12-19,16.88,15.32,16.88,15.32,3991,6338771.0,9.17,-9.99,-1.7,2.91,SZ000665
8,1996-12-20,13.79,13.79,13.79,13.79,1456,2007824.0,0.0,-9.99,-1.53,1.06,SZ000665
9,1996-12-23,12.41,12.43,13.39,12.41,11580,14592820.0,7.11,-9.86,-1.36,8.43,SZ000665
10,1996-12-24,12.62,11.8,13.18,11.6,11097,14014686.0,12.71,-5.07,-0.63,8.08,SZ000665
11,1996-12-25,11.8,12.3,12.5,10.6,10540,12476848.0,16.1,4.24,0.5,7.67,SZ000665
12,1996-12-26,12.61,13.0,13.2,12.4,8721,11142457.0,6.5,5.69,0.7,6.35,SZ000665
13,1996-12-27,13.51,13.9,13.9,13.1,14652,19845336.0,6.15,6.92,0.9,10.67,SZ000665
14,1996-12-30,14.4,15.28,15.28,14.0,17764,26540832.0,9.21,9.93,1.38,12.93,SZ000665
15,1996-12-31,15.6,15.85,16.8,15.2,16992,27021492.0,10.47,3.73,0.57,12.37,SZ000665
16,1997-01-02,15.5,15.7,16.29,15.3,12703,19830926.0,6.25,-0.95,-0.15,9.25,SZ000665
17,1997-01-03,15.7,14.85,15.7,14.74,8827,13244976.0,6.11,-5.41,-0.85,6.43,SZ000665
18,1997-01-06,14.3,13.37,14.5,13.37,5759,8052100.0,7.61,-9.97,-1.48,4.19,SZ000665
19,1997-01-07,12.1,14.1,14.46,12.07,7205,9766909.0,17.88,5.46,0.73,5.25,SZ000665
20,1997-01-08,14.0,13.75,14.3,13.51,3967,5498055.5,5.6,-2.48,-0.35,2.89,SZ000665
21,1997-01-09,14.0,13.96,14.02,13.75,3537,4906947.5,1.96,1.53,0.21,2.57,SZ000665
22,1997-01-10,14.0,14.2,14.3,13.82,3375,4735259.5,3.44,1.72,0.24,2.46,SZ000665
23,1997-01-13,14.2,14.78,14.95,14.2,5609,8246327.5,5.28,4.08,0.58,4.08,SZ000665
24,1997-01-14,14.85,14.17,14.85,14.05,4269,6115951.0,5.41,-4.13,-0.61,3.11,SZ000665
25,1997-01-15,13.9,14.36,14.48,13.6,3556,5107345.5,6.21,1.34,0.19,2.59,SZ000665
26,1997-01-16,14.4,14.3,14.48,14.0,2374,3388525.75,3.34,-0.42,-0.06,1.73,SZ000665
27,1997-01-17,14.13,14.48,14.48,14.12,3017,4339395.0,2.52,1.26,0.18,2.2,SZ000665
28,1997-01-20,14.55,14.73,14.85,14.4,5352,7876519.5,3.11,1.73,0.25,3.9,SZ000665
29,1997-01-21,14.71,14.58,14.72,14.55,2297,3356252.5,1.15,-1.02,-0.15,1.67,SZ000665
